Season,Team,Wins,Losses,Defensive_Rating,Three_Point_Percentage,MadePlayoffs
2020-21,Detroit Pistons,20,52,116.4,35.6,0
2020-21,Golden State Warriors,39,33,116.2,36.5,0
2020-21,Houston Rockets,17,55,120.3,35,0
2020-21,Indiana Pacers,34,38,117.2,36.5,0
2020-21,LA Clippers,47,25,112.5,41.1,1
2020-21,LA Lakers,42,30,109.8,35.4,1
2020-21,Memphis Grizzlies,38,34,115.2,35.8,1
2020-21,Miami Heat,40,32,112.3,35.8,1
2020-21,Milwaukee Bucks,46,26,116.4,38.9,1
2020-21,Minnesota Timberwolves,23,49,120.8,34.9,0
2020-21,New Orleans Pelicans,31,41,118.3,35.6,0
2020-21,New York Knicks,41,31,110,35.2,1
2020-21,Oklahoma City Thunder,22,50,119.9,34.9,0
2020-21,Orlando Magic,21,51,117.1,35,0
2020-21,Philadelphia 76ers,49,23,110.9,37.2,1
2020-21,Phoenix Suns,51,21,111.5,37.8,1
2020-21,Portland Trail Blazers,42,30,117.9,38,1
2020-21,Sacramento Kings,31,41,120.6,36,0
2020-21,San Antonio Spurs,33,39,115.8,35.8,0
2020-21,Toronto Raptors,27,45,114.3,37,0
2020-21,Utah Jazz,52,20,110.4,38.9,1
2020-21,Washington Wizards,34,38,122.1,35.4,1
2021-22,Atlanta Hawks,43,39,114.5,37.4,1
2021-22,Boston Celtics,51,31,108.4,35.6,1
2021-22,Brooklyn Nets,44,38,114.1,35.8,1
2021-22,Charlotte Hornets,43,39,116.9,36.6,0
2021-22,Chicago Bulls,46,36,113.8,36.9,1
2021-22,Cleveland Cavaliers,44,38,109.9,35.5,0
2021-22,Dallas Mavericks,52,30,110,35,1
2021-22,Denver Nuggets,48,34,113.4,36.1,1
2021-22,Detroit Pistons,23,59,116.2,32.6,0
2021-22,Golden State Warriors,53,29,108.8,36.6,1
2021-22,Houston Rockets,20,62,120.5,33.7,0
2021-22,Indiana Pacers,25,57,117.3,36.3,0
2021-22,LA Clippers,42,40,113.6,37.1,0
2021-22,LA Lakers,33,49,115.5,34.7,0
2021-22,Memphis Grizzlies,56,26,112.5,35.6,1
2021-22,Miami Heat,53,29,108.6,37.9,1
2021-22,Milwaukee Bucks,51,31,114.2,36.6,1
2021-22,Minnesota Timberwolves,46,36,115.5,35.8,1
2021-22,New Orleans Pelicans,36,46,113.6,33.9,1
2021-22,New York Knicks,37,45,110.4,35.5,0
2021-22,Oklahoma City Thunder,24,58,115.9,32.3,0
2021-22,Orlando Magic,22,60,116.1,33.1,0
2021-22,Philadelphia 76ers,51,31,110.3,35.4,1
2021-22,Phoenix Suns,64,18,109.9,36.4,1
2021-22,Portland Trail Blazers,27,55,119.2,34.7,0
2021-22,Sacramento Kings,30,52,117.6,34.1,0
2021-22,San Antonio Spurs,34,48,114.8,34.6,0
2021-22,Toronto Raptors,48,34,110.7,35.1,1
2021-22,Utah Jazz,49,33,110.9,36,1
2021-22,Washington Wizards,35,47,115.1,34.7,0
2022-23,Atlanta Hawks,41,41,118.6,35.4,1
2022-23,Boston Celtics,57,25,113.2,37.5,1
2022-23,Brooklyn Nets,45,37,114.3,37.7,1
2022-23,Charlotte Hornets,27,55,118.9,33,0
2022-23,Chicago Bulls,40,42,114.3,35.6,0
2022-23,Cleveland Cavaliers,51,31,112.3,36.7,1
2022-23,Dallas Mavericks,38,44,116.3,36.9,0
2022-23,Denver Nuggets,53,29,115.2,37.9,1
2022-23,Detroit Pistons,17,65,119.9,34.3,0
2022-23,Golden State Warriors,44,38,117.1,38,1
2022-23,Houston Rockets,22,60,119.9,32.7,0
2022-23,Indiana Pacers,35,47,119.5,37.1,0
2022-23,LA Clippers,44,38,115,38.1,1
2022-23,LA Lakers,43,39,116.6,34.5,1
2022-23,Memphis Grizzlies,51,31,115.2,35.1,1
2022-23,Miami Heat,44,38,113,34.4,1
2022-23,Milwaukee Bucks,58,24,114.5,36.5,1
2022-23,Minnesota Timberwolves,42,40,116.9,36.4,1
2022-23,New Orleans Pelicans,42,40,114.2,36,0
2022-23,New York Knicks,47,35,114.8,35.2,1
2022-23,Oklahoma City Thunder,40,42,117.4,34.9,0
2022-23,Orlando Magic,34,48,116.3,34.6,0
2022-23,Philadelphia 76ers,54,28,113.4,38.7,1
2022-23,Phoenix Suns,45,37,113.9,37.4,1
2022-23,Portland Trail Blazers,33,49,119.1,36.1,0
2022-23,Sacramento Kings,48,34,118.6,36.9,1
2022-23,San Antonio Spurs,22,60,124,34.3,0
2022-23,Toronto Raptors,41,41,113.2,34,0
2022-23,Utah Jazz,37,45,119.3,35.5,0
2022-23,Washington Wizards,35,47,115.8,34.5,0
2023-24,Atlanta Hawks,36,46,119.9,36.4,0
2023-24,Boston Celtics,64,18,111,38.8,1
2023-24,Brooklyn Nets,32,50,115.7,36.5,0
2023-24,Charlotte Hornets,21,61,120.2,35.8,0
2023-24,Chicago Bulls,39,43,115.6,35.8,0
2023-24,Cleveland Cavaliers,48,34,112.1,36.7,1
2023-24,Dallas Mavericks,50,32,115.6,36.9,1
2023-24,Denver Nuggets,57,25,112.8,37.4,1
2023-24,Detroit Pistons,14,68,120,34.8,0
2023-24,Golden State Warriors,46,36,115.2,36.7,0
2023-24,Houston Rockets,41,41,113.6,35.2,0
2023-24,Indiana Pacers,47,35,121.1,37.4,1
2023-24,LA Clippers,51,31,114.6,38.1,1
2023-24,LA Lakers,47,35,115.4,37.7,1
2023-24,Memphis Grizzlies,27,55,113.9,34.6,0
2023-24,Miami Heat,46,36,112.1,36.8,1
2023-24,Milwaukee Bucks,49,33,116.6,37.3,1
2023-24,Minnesota Timberwolves,56,26,108.4,36.6,1
2023-24,New Orleans Pelicans,49,33,113,37.9,1
2023-24,New York Knicks,50,32,112,36.9,1
2023-24,Oklahoma City Thunder,57,25,112.3,38.9,1
2023-24,Orlando Magic,47,35,111.4,34.8,1
2023-24,Philadelphia 76ers,47,35,113.3,36.3,1
2023-24,Phoenix Suns,49,33,114.7,38.2,1
2023-24,Portland Trail Blazers,21,61,119.2,35.1,0
2023-24,Sacramento Kings,46,36,116.2,36.6,0
2023-24,San Antonio Spurs,22,60,121.5,34.7,0
2023-24,Toronto Raptors,25,57,118.7,34.7,0
2023-24,Utah Jazz,31,51,120.9,35.4,0
2023-24,Washington Wizards,15,67,124.1,34.4,0
2024-25,Atlanta Hawks,40,42,118.4,36,0
2024-25,Boston Celtics,61,21,110.6,37.8,1
2024-25,Brooklyn Nets,26,56,116.9,35.6,0
2024-25,Charlotte Hornets,19,63,119.1,34.4,0
2024-25,Chicago Bulls,39,43,118.8,36.4,0
2024-25,Cleveland Cavaliers,64,18,112.4,38,1
2024-25,Dallas Mavericks,39,43,115.2,36.6,0
2024-25,Denver Nuggets,50,32,115.1,37.4,1
2024-25,Detroit Pistons,44,38,114.4,35.7,1
2024-25,Golden State Warriors,48,34,112.3,36.8,1
2024-25,Houston Rockets,52,30,111.5,35.1,1
2024-25,Indiana Pacers,50,32,116.5,37.8,1
2024-25,LA Clippers,50,32,111.5,37.3,1
2024-25,LA Lakers,50,32,115.1,36.4,1
2024-25,Memphis Grizzlies,48,34,114.3,36.6,1
2024-25,Miami Heat,37,45,112.4,36.8,1
2024-25,Milwaukee Bucks,48,34,114.2,38.2,1
2024-25,Minnesota Timberwolves,49,33,111.9,37.5,1
2024-25,New Orleans Pelicans,21,61,119.1,33.9,0
2024-25,New York Knicks,51,31,113.3,36.8,1
2024-25,Oklahoma City Thunder,68,14,108.5,36.3,1
2024-25,Orlando Magic,41,41,110.6,31.3,1
2024-25,Philadelphia 76ers,24,58,117.2,33.8,0
2024-25,Phoenix Suns,36,46,116.6,37.1,0
2024-25,Portland Trail Blazers,36,46,117.7,35.3,0
2024-25,Sacramento Kings,40,42,115.9,35.4,0
2024-25,San Antonio Spurs,34,48,116.8,35.5,0
2024-25,Toronto Raptors,30,52,117.5,34.9,0
2024-25,Utah Jazz,17,65,121.2,36,0
2024-25,Washington Wizards,18,64,120.4,33.9,0
2025-26,Detroit Pistons,,,110.1,35.7,1
2025-26,San Antonio Spurs,,,114.1,35.8,1
2025-26,Oklahoma City Thunder,,,104.7,34.5,1
2025-26,Boston Celtics,,,108,36,1
2025-26,New York Knicks,,,111.8,38.9,1
2025-26,Denver Nuggets,,,113.1,38.3,1
2025-26,Cleveland Cavaliers,,,109,40.9,1
2025-26,Houston Rockets,,,108,35,1
2025-26,Minnesota Timberwolves,,,108.6,36.2,1
2025-26,Los Angeles Lakers,,,111.4,35.8,1
2025-26,Memphis Grizzlies,,,110,35.2,0
2025-26,Dallas Mavericks,,,113,36.8,0
2025-26,Utah Jazz,,,117.7,35.5,0
2025-26,New Orleans Pelicans,,,116.6,34,0
2025-26,Sacramento Kings,,,113.5,35.4,0
